"","DATE","TIME","BOROUGH","ZIP CODE","LATITUDE","LONGITUDE","LOCATION","ON STREET NAME","CROSS STREET NAME","OFF STREET NAME","NUMBER OF PERSONS INJURED","NUMBER OF PERSONS KILLED","NUMBER OF PEDESTRIANS INJURED","NUMBER OF PEDESTRIANS KILLED","NUMBER OF CYCLIST INJURED","NUMBER OF CYCLIST KILLED","NUMBER OF MOTORIST INJURED","NUMBER OF MOTORIST KILLED","CONTRIBUTING FACTOR VEHICLE 1","CONTRIBUTING FACTOR VEHICLE 2","CONTRIBUTING FACTOR VEHICLE 3","CONTRIBUTING FACTOR VEHICLE 4","CONTRIBUTING FACTOR VEHICLE 5","UNIQUE KEY","VEHICLE TYPE CODE 1","VEHICLE TYPE CODE 2","VEHICLE TYPE CODE 3","VEHICLE TYPE CODE 4","VEHICLE TYPE CODE 5","YEAR","MONTH","MDAY","WDAY","YDAY","TOTAL_YDAY","severity"
"455",2016-11-07,20:11:00,NA,NA,NA,NA,NA,"EAST 42 STREET",NA,NA,0,1,0,1,0,0,0,0,"Driver Inattention/Distraction",NA,NA,NA,NA,3555856,NA,NA,NA,NA,NA,2016,11,7,2,312,366,"Fatal"
"456",2016-11-05,22:20:00,NA,NA,40.7031321,-73.8167895,"(40.7031321, -73.8167895)",NA,NA,NA,0,1,0,1,0,0,0,0,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion",NA,NA,NA,NA,3554348,"PASSENGER VEHICLE","PASSENGER VEHICLE","PASSENGER VEHICLE",NA,NA,2016,11,5,7,310,366,"Fatal"
"457",2016-11-04,23:11:00,NA,NA,NA,NA,NA,"104 STREET","41 AVENUE",NA,0,1,0,1,0,0,0,0,"Driver Inattention/Distraction",NA,NA,NA,NA,3554434,"SPORT UTILITY / STATION WAGON","SPORT UTILITY / STATION WAGON",NA,NA,NA,2016,11,4,6,309,366,"Fatal"
"458",2016-11-02,10:11:00,NA,NA,NA,NA,NA,"EAST 219 STREET",NA,NA,0,1,0,0,0,0,0,1,"Unsafe Speed","Unspecified",NA,NA,NA,3552736,"SPORT UTILITY / STATION WAGON","PASSENGER VEHICLE",NA,NA,NA,2016,11,2,4,307,366,"Fatal"
"459",2016-11-01,05:11:00,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,3551849,NA,NA,NA,NA,NA,2016,11,1,3,306,366,"Fatal"
"460",2016-10-30,10:30:00,NA,NA,NA,NA,NA,"EAST 38 STREET","TUNNEL APPROACH STREET",NA,0,1,2,1,0,0,0,0,"Failure to Yield Right-of-Way",NA,NA,NA,NA,3550534,"SPORT UTILITY / STATION WAGON","SPORT UTILITY / STATION WAGON","SPORT UTILITY / STATION WAGON",NA,NA,2016,10,30,1,304,366,"Fatal"
"461",2016-10-28,10:10:00,NA,NA,NA,NA,NA,"ASTORIA BOULEVARD",NA,NA,0,1,0,1,0,0,0,0,"View Obstructed/Limited",NA,NA,NA,NA,3549079,NA,NA,NA,NA,NA,2016,10,28,6,302,366,"Fatal"
"462",2016-10-24,06:40:00,NA,NA,40.671196,-73.84296,"(40.671196, -73.84296)","CROSS BAY BOULEVARD","149 AVENUE",NA,1,1,1,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,3546615,"PICK-UP TRUCK","PICK-UP TRUCK","PICK-UP TRUCK","PICK-UP TRUCK",NA,2016,10,24,2,298,366,"Fatal"
"463",2016-10-23,02:10:00,NA,NA,NA,NA,NA,NA,NA,NA,6,1,0,0,0,0,6,1,"Unsafe Speed","Alcohol Involvement","Unspecified",NA,NA,3545254,"PASSENGER VEHICLE","SPORT UTILITY / STATION WAGON","SPORT UTILITY / STATION WAGON","PASSENGER VEHICLE","SPORT UTILITY / STATION WAGON",2016,10,23,1,297,366,"Fatal"
"464",2016-10-22,20:10:00,NA,NA,NA,NA,NA,"BRUCKNER BOULEVARD",NA,NA,0,1,0,1,0,0,0,0,"Driver Inattention/Distraction",NA,NA,NA,NA,3546476,"SPORT UTILITY / STATION WAGON","SPORT UTILITY / STATION WAGON",NA,NA,NA,2016,10,22,7,296,366,"Fatal"
